Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,CKB-1,10087,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:44,01-04-2026 12:44,,,15-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d2dae24,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i0009r:,,,CKB Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 12:44
USER LOGIN,CKB-2,10088,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:44,01-04-2026 12:44,01-04-2026 12:45,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1525a1a4,,,,,,,,,,,,,,,,0|i0009z:,,,CKB Sprint 1,,,,,,,,,,,,10087,CKB-1,USER MANAGEMENT,To Do,01-04-2026 12:44
USER REGISTRATION,CKB-3,10089,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:44,01-04-2026 12:44,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@673fb976,,,,,,,,,,,,,,,,0|i000a7:,,,CKB Sprint 1,,,,,,,,,,,,10087,CKB-1,USER MANAGEMENT,To Do,01-04-2026 12:44
WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,CKB-4,10090,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:46,01-04-2026 14:05,01-04-2026 12:46,,03-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b30c849,,,,,,,,,,,,,,,,0|i000af:,,,CKB Sprint 1,,,,,,,,,,,,,,,To Do,01-04-2026 12:46
TEST CASES FOR FULL NAME TEXT FIELD,CKB-5,10092,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:46,01-04-2026 14:06,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2238a6e1,,,,,,,,,,,,,,,,0|i000an:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 12:46
TEST CASES FOR EMAIL ID TEXT FIELD,CKB-6,10094,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:46,01-04-2026 14:06,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62114cfa,,,,,,,,,,,,,,,,0|i000av:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 12:46
TEST CASES FOR MOBILE NUMBER FIELD,CKB-7,10096,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:46,01-04-2026 14:07,01-04-2026 14:07,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15c6109c,,,,,,,,,,,,,,,,0|i000b3:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 12:46
TEST CASES FOR PASSWORD FIELD,CKB-8,10097,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:06,01-04-2026 14:06,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6849ff5c,,,,,,,,,,,,,,,,0|i000bb:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 14:06
TEST CASES FOR OTP FIELD,CKB-9,10098,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:08,01-04-2026 14:08,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f214ff7,,,,,,,,,,,,,,,,0|i000bj:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 14:08
TEST CASES FOR CONFIRM PASSWORD FIELD,CKB-10,10099,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:08,01-04-2026 14:08,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b305125,,,,,,,,,,,,,,,,0|i000br:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 14:08
TEST CASES FOR TERMS AND CONDITIONS CHECKBOX,CKB-11,10100,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:11,01-04-2026 14:11,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28656d6b,,,,,,,,,,,,,,,,0|i000bz:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 14:11
